"TIME","GEO","NA_ITEM","AGGREG","Value","Flag and Footnotes"
"2004","Belgium","Real expenditure (in PPS_EU28)","Gross Domestic Product","284,294",""
"2004","Bulgaria","Real expenditure (in PPS_EU28)","Gross Domestic Product","59,574",""
"2004","Czechia","Real expenditure (in PPS_EU28)","Gross Domestic Product","179,477",""
"2004","Denmark","Real expenditure (in PPS_EU28)","Gross Domestic Product","150,506",""
"2004","Germany (until 1990 former territory of the FRG)","Real expenditure (in PPS_EU28)","Gross Domestic Product","2,193,789",""
"2004","Estonia","Real expenditure (in PPS_EU28)","Gross Domestic Product","16,626",""
"2004","Ireland","Real expenditure (in PPS_EU28)","Gross Domestic Product","133,191",""
"2004","Greece","Real expenditure (in PPS_EU28)","Gross Domestic Product","235,816",""
"2004","Spain","Real expenditure (in PPS_EU28)","Gross Domestic Product","950,901",""
"2004","France","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,540,613",""
"2004","Croatia","Real expenditure (in PPS_EU28)","Gross Domestic Product","52,854",""
"2004","Italy","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,437,464",""
"2004","Cyprus","Real expenditure (in PPS_EU28)","Gross Domestic Product","15,968",""
"2004","Latvia","Real expenditure (in PPS_EU28)","Gross Domestic Product","23,392",""
"2004","Lithuania","Real expenditure (in PPS_EU28)","Gross Domestic Product","37,241",""
"2004","Luxembourg","Real expenditure (in PPS_EU28)","Gross Domestic Product","24,830",""
"2004","Hungary","Real expenditure (in PPS_EU28)","Gross Domestic Product","138,947",""
"2004","Malta","Real expenditure (in PPS_EU28)","Gross Domestic Product","7,245",""
"2004","Netherlands","Real expenditure (in PPS_EU28)","Gross Domestic Product","492,939",""
"2004","Austria","Real expenditure (in PPS_EU28)","Gross Domestic Product","233,344",""
"2004","Poland","Real expenditure (in PPS_EU28)","Gross Domestic Product","431,061",""
"2004","Portugal","Real expenditure (in PPS_EU28)","Gross Domestic Product","190,525",""
"2004","Romania","Real expenditure (in PPS_EU28)","Gross Domestic Product","165,757",""
"2004","Slovenia","Real expenditure (in PPS_EU28)","Gross Domestic Product","38,491",""
"2004","Slovakia","Real expenditure (in PPS_EU28)","Gross Domestic Product","69,048",""
"2004","Finland","Real expenditure (in PPS_EU28)","Gross Domestic Product","137,673",""
"2004","Sweden","Real expenditure (in PPS_EU28)","Gross Domestic Product","255,465",""
"2004","United Kingdom","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,613,686",""
"2004","Iceland","Real expenditure (in PPS_EU28)","Gross Domestic Product","8,801",""
"2004","Norway","Real expenditure (in PPS_EU28)","Gross Domestic Product","165,093",""
"2004","Switzerland","Real expenditure (in PPS_EU28)","Gross Domestic Product","244,941",""
"2004","Candidate and potential candidate countries except Turkey and Kosovo (under United Nations Security Council Resolution 1244/99)","Real expenditure (in PPS_EU28)","Gross Domestic Product","77,146",""
"2004","Montenegro","Real expenditure (in PPS_EU28)","Gross Domestic Product","4,066",""
"2004","Former Yugoslav Republic of Macedonia, the","Real expenditure (in PPS_EU28)","Gross Domestic Product","12,325",""
"2004","Albania","Real expenditure (in PPS_EU28)","Gross Domestic Product","13,890",""
"2004","Serbia","Real expenditure (in PPS_EU28)","Gross Domestic Product","50,931",""
"2004","Turkey","Real expenditure (in PPS_EU28)","Gross Domestic Product","615,833",""
"2004","Bosnia and Herzegovina","Real expenditure (in PPS_EU28)","Gross Domestic Product",":",""
"2004","Kosovo (under United Nations Security Council Resolution 1244/99)","Real expenditure (in PPS_EU28)","Gross Domestic Product",":",""
"2004","United States","Real expenditure (in PPS_EU28)","Gross Domestic Product","10,335,555",""
"2004","Japan","Real expenditure (in PPS_EU28)","Gross Domestic Product","3,281,062",""
"2005","Belgium","Real expenditure (in PPS_EU28)","Gross Domestic Product","296,850",""
"2005","Bulgaria","Real expenditure (in PPS_EU28)","Gross Domestic Product","66,469",""
"2005","Czechia","Real expenditure (in PPS_EU28)","Gross Domestic Product","190,549",""
"2005","Denmark","Real expenditure (in PPS_EU28)","Gross Domestic Product","157,295",""
"2005","Germany (until 1990 former territory of the FRG)","Real expenditure (in PPS_EU28)","Gross Domestic Product","2,240,691",""
"2005","Estonia","Real expenditure (in PPS_EU28)","Gross Domestic Product","19,017",""
"2005","Ireland","Real expenditure (in PPS_EU28)","Gross Domestic Product","142,968",""
"2005","Greece","Real expenditure (in PPS_EU28)","Gross Domestic Product","238,846",""
"2005","Spain","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,027,782",""
"2005","France","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,637,654",""
"2005","Croatia","Real expenditure (in PPS_EU28)","Gross Domestic Product","56,012",""
"2005","Italy","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,480,597",""
"2005","Cyprus","Real expenditure (in PPS_EU28)","Gross Domestic Product","17,427",""
"2005","Latvia","Real expenditure (in PPS_EU28)","Gross Domestic Product","26,348",""
"2005","Lithuania","Real expenditure (in PPS_EU28)","Gross Domestic Product","41,019",""
"2005","Luxembourg","Real expenditure (in PPS_EU28)","Gross Domestic Product","26,970",""
"2005","Hungary","Real expenditure (in PPS_EU28)","Gross Domestic Product","146,442",""
"2005","Malta","Real expenditure (in PPS_EU28)","Gross Domestic Product","7,641",""
"2005","Netherlands","Real expenditure (in PPS_EU28)","Gross Domestic Product","521,875",""
"2005","Austria","Real expenditure (in PPS_EU28)","Gross Domestic Product","244,845",""
"2005","Poland","Real expenditure (in PPS_EU28)","Gross Domestic Product","450,739",""
"2005","Portugal","Real expenditure (in PPS_EU28)","Gross Domestic Product","202,991",""
"2005","Romania","Real expenditure (in PPS_EU28)","Gross Domestic Product","176,186",""
"2005","Slovenia","Real expenditure (in PPS_EU28)","Gross Domestic Product","40,712",""
"2005","Slovakia","Real expenditure (in PPS_EU28)","Gross Domestic Product","75,875",""
"2005","Finland","Real expenditure (in PPS_EU28)","Gross Domestic Product","142,647",""
"2005","Sweden","Real expenditure (in PPS_EU28)","Gross Domestic Product","260,970",""
"2005","United Kingdom","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,667,988",""
"2005","Iceland","Real expenditure (in PPS_EU28)","Gross Domestic Product","9,390",""
"2005","Norway","Real expenditure (in PPS_EU28)","Gross Domestic Product","187,714",""
"2005","Switzerland","Real expenditure (in PPS_EU28)","Gross Domestic Product","256,449",""
"2005","Candidate and potential candidate countries except Turkey and Kosovo (under United Nations Security Council Resolution 1244/99)","Real expenditure (in PPS_EU28)","Gross Domestic Product","104,398",""
"2005","Montenegro","Real expenditure (in PPS_EU28)","Gross Domestic Product","4,340",""
"2005","Former Yugoslav Republic of Macedonia, the","Real expenditure (in PPS_EU28)","Gross Domestic Product","13,587",""
"2005","Albania","Real expenditure (in PPS_EU28)","Gross Domestic Product","15,012",""
"2005","Serbia","Real expenditure (in PPS_EU28)","Gross Domestic Product","55,062",""
"2005","Turkey","Real expenditure (in PPS_EU28)","Gross Domestic Product","686,061",""
"2005","Bosnia and Herzegovina","Real expenditure (in PPS_EU28)","Gross Domestic Product","20,736",""
"2005","Kosovo (under United Nations Security Council Resolution 1244/99)","Real expenditure (in PPS_EU28)","Gross Domestic Product",":",""
"2005","United States","Real expenditure (in PPS_EU28)","Gross Domestic Product","11,079,824",""
"2005","Japan","Real expenditure (in PPS_EU28)","Gross Domestic Product","3,438,465",""
"2006","Belgium","Real expenditure (in PPS_EU28)","Gross Domestic Product","308,982",""
"2006","Bulgaria","Real expenditure (in PPS_EU28)","Gross Domestic Product","71,187",""
"2006","Czechia","Real expenditure (in PPS_EU28)","Gross Domestic Product","201,526",""
"2006","Denmark","Real expenditure (in PPS_EU28)","Gross Domestic Product","167,869",""
"2006","Germany (until 1990 former territory of the FRG)","Real expenditure (in PPS_EU28)","Gross Domestic Product","2,335,019",""
"2006","Estonia","Real expenditure (in PPS_EU28)","Gross Domestic Product","21,471",""
"2006","Ireland","Real expenditure (in PPS_EU28)","Gross Domestic Product","156,385",""
"2006","Greece","Real expenditure (in PPS_EU28)","Gross Domestic Product","260,177",""
"2006","Spain","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,132,539",""
"2006","France","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,708,229",""
"2006","Croatia","Real expenditure (in PPS_EU28)","Gross Domestic Product","62,147",""
"2006","Italy","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,556,208",""
"2006","Cyprus","Real expenditure (in PPS_EU28)","Gross Domestic Product","18,640",""
"2006","Latvia","Real expenditure (in PPS_EU28)","Gross Domestic Product","28,928",""
"2006","Lithuania","Real expenditure (in PPS_EU28)","Gross Domestic Product","44,621",""
"2006","Luxembourg","Real expenditure (in PPS_EU28)","Gross Domestic Product","30,499",""
"2006","Hungary","Real expenditure (in PPS_EU28)","Gross Domestic Product","152,553",""
"2006","Malta","Real expenditure (in PPS_EU28)","Gross Domestic Product","7,792",""
"2006","Netherlands","Real expenditure (in PPS_EU28)","Gross Domestic Product","554,401",""
"2006","Austria","Real expenditure (in PPS_EU28)","Gross Domestic Product","257,525",""
"2006","Poland","Real expenditure (in PPS_EU28)","Gross Domestic Product","478,095",""
"2006","Portugal","Real expenditure (in PPS_EU28)","Gross Domestic Product","214,760",""
"2006","Romania","Real expenditure (in PPS_EU28)","Gross Domestic Product","205,051",""
"2006","Slovenia","Real expenditure (in PPS_EU28)","Gross Domestic Product","42,801",""
"2006","Slovakia","Real expenditure (in PPS_EU28)","Gross Domestic Product","83,908",""
"2006","Finland","Real expenditure (in PPS_EU28)","Gross Domestic Product","149,805",""
"2006","Sweden","Real expenditure (in PPS_EU28)","Gross Domestic Product","281,612",""
"2006","United Kingdom","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,740,491",""
"2006","Iceland","Real expenditure (in PPS_EU28)","Gross Domestic Product","9,831",""
"2006","Norway","Real expenditure (in PPS_EU28)","Gross Domestic Product","208,648",""
"2006","Switzerland","Real expenditure (in PPS_EU28)","Gross Domestic Product","279,447",""
"2006","Candidate and potential candidate countries except Turkey and Kosovo (under United Nations Security Council Resolution 1244/99)","Real expenditure (in PPS_EU28)","Gross Domestic Product","118,279",""
"2006","Montenegro","Real expenditure (in PPS_EU28)","Gross Domestic Product","5,319",""
"2006","Former Yugoslav Republic of Macedonia, the","Real expenditure (in PPS_EU28)","Gross Domestic Product","14,662",""
"2006","Albania","Real expenditure (in PPS_EU28)","Gross Domestic Product","16,250",""
"2006","Serbia","Real expenditure (in PPS_EU28)","Gross Domestic Product","58,962",""
"2006","Turkey","Real expenditure (in PPS_EU28)","Gross Domestic Product","775,301",""
"2006","Bosnia and Herzegovina","Real expenditure (in PPS_EU28)","Gross Domestic Product","23,086",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Real expenditure (in PPS_EU28)","Gross Domestic Product",":",""
"2006","United States","Real expenditure (in PPS_EU28)","Gross Domestic Product","11,435,877",""
"2006","Japan","Real expenditure (in PPS_EU28)","Gross Domestic Product","3,502,229",""
"2007","Belgium","Real expenditure (in PPS_EU28)","Gross Domestic Product","322,950",""
"2007","Bulgaria","Real expenditure (in PPS_EU28)","Gross Domestic Product","79,614",""
"2007","Czechia","Real expenditure (in PPS_EU28)","Gross Domestic Product","221,776",""
"2007","Denmark","Real expenditure (in PPS_EU28)","Gross Domestic Product","175,426",""
"2007","Germany (until 1990 former territory of the FRG)","Real expenditure (in PPS_EU28)","Gross Domestic Product","2,471,741",""
