"Povpreène meseène bruto plaèe po: STATISTIÈNA REGIJA, STAROST , LETO"

" ";" ";"2010";"2011";"2012";"2013";"2014";"2015"
"Pomurska"
" ";"15-64 let";1330;1383;1390;1379;1444;1445
" ";"15-24 let";900;954;955;965;984;1008
" ";"25-34 let";1159;1199;1217;1202;1222;1233
" ";"35-44 let";1324;1376;1389;1382;1447;1453
" ";"45-54 let";1425;1468;1457;1431;1516;1505
" ";"55-64 let";1692;1724;1707;1658;1707;1684
" ";"65 let ali veè";3042;3833;2949;3922;3700;4095
"Podravska"
" ";"15-64 let";1424;1467;1485;1484;1514;1524
" ";"15-24 let";934;967;986;1001;1030;1060
" ";"25-34 let";1233;1261;1273;1260;1280;1283
" ";"35-44 let";1430;1474;1497;1499;1523;1525
" ";"45-54 let";1493;1528;1547;1541;1575;1580
" ";"55-64 let";1792;1832;1811;1760;1747;1764
" ";"65 let ali veè";4279;4094;4012;3699;3799;3752
"Koroška"
" ";"15-64 let";1390;1448;1462;1464;1499;z
" ";"15-24 let";961;1033;1042;1039;1072;z
" ";"25-34 let";1163;1222;1242;1245;1286;1318
" ";"35-44 let";1388;1453;1458;1461;1492;1528
" ";"45-54 let";1497;1530;1548;1531;1560;1584
" ";"55-64 let";1769;1815;1829;1813;1794;1810
" ";"65 let ali veè";z;4536;4079;4042;4411;z
"Savinjska"
" ";"15-64 let";1397;1438;1461;1468;1506;1515
" ";"15-24 let";951;1019;1053;1070;1105;1100
" ";"25-34 let";1210;1249;1266;1263;1287;1290
" ";"35-44 let";1399;1439;1462;1470;1508;1514
" ";"45-54 let";1496;1520;1540;1539;1575;1578
" ";"55-64 let";1785;1800;1821;1781;1769;1781
" ";"65 let ali veè";3794;3877;3693;3749;3341;3265
"Zasavska"
" ";"15-64 let";1465;1517;1502;1505;1503;z
" ";"15-24 let";936;1033;997;1058;997;z
" ";"25-34 let";1291;1323;1292;1301;1286;1251
" ";"35-44 let";1449;1522;1507;1506;1506;1448
" ";"45-54 let";1542;1574;1547;1524;1516;1498
" ";"55-64 let";1792;1801;1844;1834;1798;1736
" ";"65 let ali veè";z;z;z;z;z;z
"Posavska"
" ";"15-64 let";1385;1453;1480;1471;1513;1515
" ";"15-24 let";953;1032;1081;1041;1051;1101
" ";"25-34 let";1214;1272;1294;1306;1341;1369
" ";"35-44 let";1365;1433;1465;1450;1506;1516
" ";"45-54 let";1493;1536;1540;1502;1532;1515
" ";"55-64 let";1876;1935;1958;1887;1888;1822
" ";"65 let ali veè";3969;3389;2970;3942;3842;4264
"Jugovzhodna Slovenija"
" ";"15-64 let";1479;1537;1563;1560;1619;1634
" ";"15-24 let";1005;1058;1074;1107;1172;1176
" ";"25-34 let";1293;1344;1360;1371;1428;1453
" ";"35-44 let";1490;1549;1573;1568;1624;1642
" ";"45-54 let";1578;1636;1661;1636;1692;1693
" ";"55-64 let";1914;1914;1942;1866;1890;1898
" ";"65 let ali veè";3463;4088;3914;4346;3853;3814
"Osrednjeslovenska"
" ";"15-64 let";1738;1778;1790;1776;1811;1834
" ";"15-24 let";1008;1048;1055;1059;1079;1107
" ";"25-34 let";1479;1491;1490;1466;1483;1488
